Abstract	Classification
phenylketonuria mutations in northern china.  mutation spectrum of phenylalanine hydroxylase (pah) gene in patients with phenylketonuria (pku) in northern china is described with a discussion on genotype-phenotype correlation. by using pcr/sscp and dna sequencing, all exons of pah gene in the 185 unrelated patients with pku from northern china were studied. a total of 70 different mutations, including 42 missense, 12 splice, 7 nonsense, 5 deletion, 3 insertion, and 1 silence/splice mutations, were detected in 349/370 mutant alleles (94.3%). deletion, insertion, and frameshift mutations were found for the first time in china pku patients. the mutations r243q, ex6-96a>g, r111x, y356x, and r413p were the prevalent mutations with relative frequencies of 22.2, 11.1, 8.7, 6.5, and 6.5%, respectively. fifteen novel mutations were identified in this study: i38fsx19, ivs4+3g>c, y154h, r157k, r157i, t200fsx6, q267h, q267e, f302fsx39, g346r, s349a, l367l, r400k, ivs12+4a>g, and ivs12+6t>a. each of them occurs at very low frequency (0.3-1.1%). the mutation spectrum of pku in chinese is similar to other asian populations but significantly different from european populations. altogether, 70 different mutations are found in 109 genotypes distributed among 185 pku patients. as shown by the analysis, the predicted residual activity found in the majority of pku individuals match their in vivo phenotypes, though evidence is also found for both phenotypic inconsistencies among subjects with similar genotypes and discordance between the in vitro and in vivo effects of some mutant alleles. the study enables us to construct a national database in china serving as a valuable tool for genetic counseling and prognostic evaluation of future cases of pku.	-1
mapk activation in mature cataract associated with noonan syndrome.  noonan syndrome is an autosomal, dominantly inherited disease; it is physically characterized by short stature, short neck, webbed neck, abnormal auricles, high arched palate, and cardiovascular malformation. its pathological condition is thought to be due to a gain-of-function mutation in the ras-mitogen-activated protein kinase (mapk) signal transduction pathway. eyelid abnormalities such as ocular hypertelorism and blepharoptosis are the most commonly observed eye complications. we report a case of noonan syndrome associated with mature cataract that required operation. a 42-year-old man was diagnosed with noonan syndrome at the age of 1 year. he underwent an eye examination after complaining of decreased visual acuity in the right eye and was diagnosed with mature cataract, which was treated by cataract surgery. there were no intraoperative complications, and the postoperative course was uneventful. protein analysis of lens capsule and epithelium at capsulorhexis showed mapk cascade proteins such as erk and p38mapk were upregulated. an abnormality in the ptpn11 gene was also observed; a potential mechanism of cataract onset may be that opacity of the lens rapidly progressed due to abnormal activation of the ras-mapk signal transduction pathway. this case highlights the possible association of cataract formation with mapk cascade protein upregulation in noonan syndrome.	-1
molecular basis of autosomal dominant hypercholesterolemia: assessment in a large cohort of hypercholesterolemic children.  autosomal dominant hypercholesterolemia (adh) is characterized by elevated low-density lipoprotein cholesterol levels and premature cardiovascular disease. mutations in the genes encoding for low-density lipoprotein receptor (ldlr), apolipoprotein b (apob), and proprotein convertase subtilisin/kexin 9 (pcsk9) underlie adh. nevertheless, a proportion of individuals who exhibit the adh phenotype do not carry mutations in any of these 3 genes. estimates of the percentage of such cases among the adh phenotype vary widely. we therefore investigated a large pediatric population with an unequivocal adh phenotype to assess the molecular basis of hereditary hypercholesterolemia and to define the percentage of individuals with unexplained dyslipidemia. we enrolled individuals with low-density lipoprotein cholesterol levels above the 95th percentile for age and gender and an autosomal dominant inheritance pattern of hypercholesterolemia from a large referred pediatric cohort of 1430 children. we excluded children with thyroid dysfunction, nephrotic syndrome, autoimmune disease, liver disease, primary biliary cirrhosis, and obesity (body mass index >75th percentile for age and gender), as well as children referred via a cascade screening program and those from families with a known molecular diagnosis. of the 269 children who remained after the exclusion criteria were applied, 255 (95%) carried a functional mutation (ldlr, 95%; apob, 5%). in the vast majority of children with an adh phenotype, a causative mutation can be identified, strongly suggesting that most of the large-effect genes underlying adh are known to date.	-1
acute progression of neuromuscular findings in infantile pompe disease.  a 2-year-old girl with pompe disease developed an acute worsening of muscle weakness during a hospitalization, and required intubation for an upper respiratory infection. electromyography and nerve conduction studies produced results consistent with a severe chronic motor axonal peripheral polyneuropathy, with no evidence of reinnervation. magnetic resonance imaging of the brain demonstrated generalized hypomyelination and parenchymal volume loss, whereas magnetic resonance spectroscopy suggested neuronal injury and hypomyelination. this case provides compelling evidence for a slowly progressive neurodegenerative process in patients with infantile pompe disease, affecting the motor neurons. routine electromyography, nerve conduction studies, and cranial magnetic resonance imaging should be considered to delineate the presence of a neurodegenerative process in infantile-onset pompe disease.	-1
a novel mutation of the gaa gene in a patient with adult-onset pompe disease lacking a disease-specific pathology.  we herein report a novel compound heterozygous mutation of the acid ?-glucosidase (gaa) gene in a 23-year-old man with adult-onset pompe disease. the patient was admitted for respiratory failure and a highly elevated serum level of creatine kinase (ck). his muscle pathology did not show typical vacuolated fibers; however, globular inclusion bodies with acid phosphatase (acp) activity was observed. a molecular genetic analysis of the gaa gene revealed a novel compound heterozygous mutation, c.1544 t>a (m515k), combined with a previously reported mutation, c.1309 c>t (r437c). the presence of acp-positive globular inclusion bodies is a useful diagnostic marker for adult-onset pompe disease, even when typical vacuolated fibers are absent.	-1
cardiovascular risk assessment of dyslipidemic children: analysis of biomarkers to identify monogenic dyslipidemia.  the distinction between a monogenic dyslipidemia and a polygenic/environmental dyslipidemia is important for the cardiovascular risk assessment, counseling, and treatment of these patients. the present work aims to perform the cardiovascular risk assessment of dyslipidemic children to identify useful biomarkers for clinical criteria improvement in clinical settings. main cardiovascular risk factors were analyzed in a cohort of 237 unrelated children with clinical diagnosis of familial hypercholesterolemia (fh). about 40% carried at least two cardiovascular risk factors and 37.6% had fh, presenting mutations in ldlr and apob. fh children showed significant elevated atherogenic markers and lower concentration of antiatherogenic particles. children without a molecular diagnosis of fh had higher levels of tgs, apoc2, apoc3, and higher frequency of bmi and overweight/obesity, suggesting that environmental factors can be the underlying cause of their hypercholesterolem?ia. an apob/apoa1 ratio ?0.68 was identified as the best biomarker (area under the curve = 0.835) to differentiate fh from other dyslipidemias. the inclusion in clinical criteria of a higher cut-off point for ldl cholesterol or an apob/apoa1 ratio ?0.68 optimized the criteria sensitivity and specificity. the correct identification, at an early age, of all children at-risk is of great importance so that specific interventions can be implemented. apob/apoa1 can improve the identification of fh patients.	-1
fabry disease: 20 novel gla mutations in 35 families.  thirty two mutations have been found in 35 unrelated patients of european origin with fabry disease, including 8 females. twenty of the mutations are novel and comprise of 13 missense: h46y, w47g, r49p, c94s, f113s, g258r, p259r, q279h, q280h, r363h, a377d, p409a, p409t; 1 nonsense: l294x; 5 small deletions: 154delt, 520delt, 909-918del10, 1152-1153delca, 1235-1236delct and 1 splice site mutation: ivs5+2t-->c. the remaining 12 mutations have all been reported previously. all patients with deletions had the classic form of the disease but it was not possible to predict the phenotype from the missense mutations.	-1
phenylalanine hydroxylase gene mutations in phenylketonuria patients from india: identification of novel mutations that affect pah rna.  analysis of seven indian phenylketonuria families has revealed four novel mutations in the phenylalanine hydroxylase gene; two affected consensus splice sequence and the 3' utr, respectively, while the other two were single base insertion and deletion mutations, respectively. a novel 3' splice site mutation c.168-2a>g resulted in the activation of a cryptic 3' splice site that generated a premature termination codon leading to very low levels of the mutant transcript, probably due to activation of the nonsense-mediated decay (nmd) pathway. this is probably the first report of pku caused by the activation of nmd.	-1
mutation analysis of pah gene in patients with pku in western iran and its association with polymorphisms: identification of four novel mutations.  phenylketonuria (pku) is an autosomal recessive disorder characterized by a mutation in the phenylalanine hydroxylase (pah) gene. untreated pku can lead to mental retardation, seizures, and other serious medical problems. this study was designed to investigate the status of molecular defects in the pah gene and their association with polymorphisms in kurdish patients with pku in the kermanshah province, western iran. the study was conducted on 27 unrelated patients with pku over a 2-year period (from 2010 to 2012). all 13 exons plus exon-intron boundaries of the pah gene were analyzed and we identified 15 different mutations, including two novel mutations, in 51 of the 54 mutant alleles (diagnostic efficiency of 94.4 %). ivs4 + 1g > c (c.441 + 1g > c) and ivs7 - 5 t > c (c.843 - 5 t > c) are novel mutations that have not been reported in the academic literature or the pah locus database ( http://www.pahdb.mcgill.ca ); therefore, they may be specific to the kurdish population. ivs2 + 5g > c and ivs9 + 5g > a were the two most prevalent mutations in our sample, with frequencies of 26 % and 17 %, respectively. the second most common mutations were p.r261x, ivs10 - 11g > a, p.k363 > nfs and ivs7 - 5 t > c, with each showing a relative frequency of 7.4 %. all other detected mutations, including p.f55 > lfs, p.r176x, p.r243q, p.v230i, p.r243x, p.r261q, ivs8 - 7a > g and p.e390g had frequencies of less than 4 %. the present study showed that there is a distinct difference in the characteristics of pah mutations between the kermanshah province and other parts of iran, suggesting that kermanshah may have a unique population distribution of pah gene mutations. iran lies on the route of major ancient movements of the caucasian people toward the mediterranean basin, and kermanshah has previously been called the gateway to asia. most of the mutations identified in this study are common in the mediterranean region. therefore, our findings are consistent with the historical and geographical links between the iranian population and the populations of mediterranean region.	-1
"distinguishing hypertrophic cardiomyopathy-associated mutations from background genetic noise.  despite the significant progress that has been made in identifying disease-associated mutations, the utility of the hypertrophic cardiomyopathy (hcm) genetic test is limited by a lack of understanding of the background genetic variation inherent to these sarcomeric genes in seemingly healthy subjects. this study represents the first comprehensive analysis of genetic variation in 427 ostensibly healthy individuals for the hcm genetic test using the ""gold standard"" sanger sequencing method validating the background rate identified in the publically available exomes. while mutations are clearly overrepresented in disease, a background rate as high as ?5 % among healthy individuals prevents diagnostic certainty. to this end, we have identified a number of estimated predictive value-based associations including gene-specific, topology, and conservation methods generating an algorithm aiding in the probabilistic interpretation of an hcm genetic test."	-1
